Cases,DICE,Size,Split
3,0.226646808,1412,Train
4,0.255139607,2980,Train
5,0.484764055,5841,Train
6,0.462651649,3624,Train
7,0.302507029,11432,Val
8,0.760014108,87939,Train
9,0.354798595,1912,Train
11,0.225303224,4348,Train
12,0.158565896,5695,Train
13,0.685591068,7692,Val
14,0.567192096,8836,Train
15,0.566493231,13896,Train
16,0.340272843,8000,Train
17,0.440087635,20512,Train
18,0.719469254,423792,Train
19,0.543554759,19943,Train
20,0.021311309,1973,Train
21,0.310208384,9008,Train
22,0.676608299,13829,Train
23,0.734770727,14240,Train
24,0.545761143,30456,Train
25,0.504398099,18588,Train
26,0.003983612,976,Train
28,0.291581219,28384,Train
29,0.363414344,1628,Val
30,0.455309093,21848,Train
32,0.270360873,2572,Train
33,0.676918735,110128,Val
34,0.145918501,4752,Val
35,0.755632014,70304,Train
36,0.152099756,3112,Val
37,0.05826703,1161,Val
39,0.405732255,29738,Val
40,0.633882229,30864,Train
41,0.47767119,4108,Train
42,0.716883574,28332,Train
43,0.611212028,150188,Train
44,0.207501091,19196,Train
45,0.251207729,155,Train
46,0.346714787,5653,Train
47,0.535781202,3021,Train
50,0.463645215,8960,Train
51,0.328624193,133436,Train
52,0.391130863,21272,Train
53,0.690580985,24846,Train
54,0.401169988,5440,Train
55,0.530268429,151624,Train
56,0.657267564,75720,Val
57,0.314097697,24132,Val
58,0.438160038,14949,Train
60,0.538896656,8107,Train
61,0.426046543,2309,Train
62,0.23662253,3020,Train
63,0.567643408,50664,Train
64,0.453486303,15936,Val
65,0.520027621,168848,Train
66,0.358286351,42932,Train
67,0.410377207,27712,Train
68,0.033588683,2304,Train
69,0.562379243,10798,Train
71,0.541462791,16828,Val
72,0.154364835,15145,Train
73,0.369639568,14032,Train
74,0.412527745,10160,Train
75,0.241027555,13084,Train
76,0.546662918,5954,Train
77,0.246508373,4296,Train
78,0.427745199,14222,Train
79,0.177407984,17375,Train
80,0.273967386,13696,Train
81,0.314815357,30100,Train
82,0.661364425,20173,Train
83,0.449822732,1524,Train
85,0.03315921,2150,Train
86,0.4090454,31632,Train
87,0.570620395,10840,Train
88,0.416881243,11836,Train
89,0.849251141,350924,Train
90,0.342736202,1922,Train
92,0.29444011,24201,Train
93,0.379309201,27077,Val
94,0.2895011,10960,Train
95,0.453046252,6276,Val
96,0.409382764,4604,Train
97,0.338176465,16452,Train
98,0.323555466,11114,Train
101,0.515691939,5964,Train
102,0.26086115,2833,Train
103,0.418348909,43020,Train
104,0.348511106,8092,Val
105,0.452885856,20229,Train
106,0.535664663,5728,Train
107,0.166829616,8799,Train
108,0.595627831,31332,Train
109,0.44904164,6732,Train
111,0.260872128,7487,Train
112,0.232318821,4612,Train
113,0.409242565,6400,Train
114,0.279587133,3377,Train
116,0.280803252,1616,Train
117,0.801089734,98116,Train
118,0.243888548,7252,Val
120,0.307582992,4128,Train
121,0.361076974,11170,Train
122,0.37041293,120248,Val
123,0.490323066,14384,Train
124,0.408088775,12976,Train
125,0.529243241,23380,Train
126,0.383495024,41752,Val
127,0.283557296,404,Train
128,0.413162316,39634,Train
129,0.536946613,15904,Train
132,0.360727388,7872,Train
133,0.566634625,49195,Train
134,0.342063819,17237,Train
135,0.534677959,8104,Val
136,0.296743125,31156,Train
137,0.334093667,10483,Train
138,0.679331302,94601,Train
139,0.398418757,18222,Train
140,0.567027976,18244,Train
142,0.326640623,3632,Train
143,0.345509324,28136,Train
144,0.518605532,12440,Train
146,0.140962495,26819,Train
147,0.582814978,24292,Val
151,0.643036955,22168,Train
152,0.81506936,114251,Val
153,0.35200804,48239,Train
155,0.380217879,25296,Train
156,0.493706344,17302,Train
157,0.52969213,63298,Train
158,0.243342076,7204,Train
160,0.403481595,1956,Val
162,0.307154031,2526,Train
163,0.379378785,9807,Val
165,0.516769678,6776,Train
166,0.361471666,6160,Train
167,0.562569357,4233,Train
168,0.252537281,5840,Train
170,0.41255063,10373,Val
171,0.446280529,3435,Train
174,0.626445409,1122256,Train
175,0.479632387,2424,Train
176,0.516672734,1336,Train
178,0.470395873,8370,Train
179,0.682714981,20576,Val
180,0.496618527,9452,Val
181,0.313401037,58360,Train
182,0.394309445,1708,Val
183,0.573802112,45853,Train
185,0.460608352,11919,Train
186,0.475525518,5404,Train
187,0.338573589,10223,Train
189,0.714690953,216372,Train
190,0.408443738,15424,Train
191,0.373012616,6630,Train
192,0.230552155,6270,Val
193,0.260545923,9167,Train
194,0.502064939,21686,Train
195,0.330046576,13600,Train
197,0.380066004,23400,Val
198,0.516996822,33558,Train
199,0.150853206,1555,Val
201,0.446555909,41148,Val
202,0.440069753,31179,Train
203,0.347685444,57952,Val
205,0.731367165,6656,Train
206,0.366604831,4260,Train
207,0.175086682,4176,Train
208,0.169069023,4088,Train
209,0.806226935,453719,Train
211,0.532717593,7899,Train
212,0.63228216,4998,Train
213,0.828132188,146880,Train
214,0.600295378,96404,Train
215,0.221499248,4917,Val
216,0.709850916,10421,Train
218,0.347698864,10608,Val
219,0.358158298,11476,Val
220,0.224302995,24738,Train
221,0.714104961,661560,Val
222,0.43650576,5268,Train
223,0.717174318,11456,Train
224,0.510082626,18656,Train
225,0,324,Train
227,0.484250733,68895,Val
228,0,264,Train
229,0.377182765,2396,Train
231,0.643215069,58048,Train
232,0.53074317,6320,Train
233,0.412958278,14739,Train
234,0.268130706,19471,Val
236,0.282212301,17808,Val
237,0.30088226,11508,Val
238,0.396009962,5254,Train
239,0.208489758,5052,Train
240,0.556353712,9311,Train
242,0.54340346,1999,Train
243,0.627667832,10150,Train
244,0.545580512,6860,Train
245,0.43121171,12644,Train
246,0.64408314,238630,Val
247,0.551103554,19996,Train
248,0.237827916,3545,Train
250,0.609832866,16400,Train
251,0.498200972,42211,Train
253,0.646997032,5648,Train
254,0.794347175,7780,Train
255,0.220029997,3772,Train
256,0.496498101,15716,Val
257,0.482503824,7840,Val
259,0.249802535,4532,Train
260,0.474743886,6765,Train
262,0.563445815,22135,Train
264,0.359539259,15162,Val
267,0.766716512,124645,Train
269,0.404495551,37544,Train
270,0.312701574,4506,Val
271,0.462907788,8496,Train
272,0.721592107,40527,Train
273,0.461584245,12300,Train
274,0.640825047,12932,Train
275,0.279866409,5796,Train
276,0.77813409,9232,Val
278,0.197740811,16666,Val
279,0.649334029,48243,Train
280,0.16449654,5574,Train
282,0.281012808,6143,Train
284,0.391158956,6419,Train
286,0.763082433,35109,Train
287,0.370103511,15463,Train
288,0.282083638,2650,Val
289,0.293550807,11469,Train
290,0.642082865,4272,Val
291,0.443217891,30811,Train
292,0.354178548,4053,Train
293,0.400725357,7812,Train
294,0.320506047,9387,Train
295,0.329608367,11296,Train
297,0.22788061,6183,Train
298,0.26387944,45009,Val
299,0.588196697,33379,Train
300,0.337096353,24500,Train
302,0.274165036,9700,Train
303,0.679523282,17088,Val
304,0.618708567,29516,Train
305,0.450278533,5323,Train
306,0.516466915,23380,Val
307,0.693828577,74176,Train
308,0.440614123,15815,Train
309,0.593260792,69176,Train
310,0.375051114,13865,Train
311,0.298690233,30380,Train
312,0.428869209,8697,Val
313,0.446119684,27020,Val
314,0.506077761,106352,Train
315,0.347142617,2004,Train
316,0.100725432,3145,Train
317,0.356120358,2232,Val
318,0.787323188,39328,Train
319,0.566516979,4004,Train
320,0.491836251,1815,Val
321,0.225419933,15544,Train
322,0.225610083,2460,Train
323,0.622171851,12628,Train
326,0.266348538,30804,Train
327,0.468468199,10016,Train
330,0.480058079,64916,Train
331,0.41940776,86808,Train
332,0.151249847,526,Train
333,0.369434932,30913,Train
334,0.589901658,20832,Train
335,0.374410048,7649,Train
336,0.281658431,10668,Train
338,0.431045376,13288,Train
342,0.429109015,3526,Val
343,0.561712645,15796,Train
344,0.639921383,34324,Train
345,0.54929856,131864,Val
346,0.429092992,5252,Train
347,0.719838969,86752,Train
348,0.573789516,8204,Train
351,0.682895555,51748,Train
352,0.370638963,9556,Train
353,0.429617094,5397,Train
356,0.172359942,3200,Train
357,0.715014501,12364,Train
358,0.570342406,65776,Train
359,0.314199421,8791,Train
360,0.557248272,9212,Train
361,0.735077337,30480,Val
363,0.466499485,90523,Train
364,0.204285186,5495,Val
365,0.460980642,17662,Train
366,0.175929897,3702,Train
367,0.214937604,3328,Train
368,0.291039119,12248,Train
